Date,Category,Sales_Volume
2009-02-01,Tablet,1180
2009-02-01,Accessories,479
2009-02-01,Laptop,311
2009-02-01,Smartphone,28
2009-02-01,Tablet,656
2009-02-01,Accessories,28
2009-02-01,Laptop,460
2009-02-01,Smartphone,462
2009-02-01,Tablet,68
2009-02-01,Accessories,129
2009-02-01,Laptop,77
2009-02-01,Smartphone,176
2009-02-01,Tablet,439
2009-03-01,Accessories,582
2009-03-01,Laptop,363
2009-03-01,Smartphone,463
2009-03-01,Tablet,617
2009-03-01,Accessories,818
2009-03-01,Laptop,702
2009-03-01,Smartphone,428
2009-03-01,Tablet,299
2009-03-01,Accessories,261
2009-03-01,Laptop,385
2009-03-01,Smartphone,98
2009-03-01,Tablet,600
2009-03-01,Accessories,598
2009-03-01,Laptop,664
2009-03-01,Smartphone,437
2009-03-01,Tablet,219
2009-03-01,Accessories,292
2009-03-01,Laptop,390
2009-03-01,Smartphone,218
2009-03-01,Tablet,383
2009-03-01,Accessories,651
2009-03-01,Laptop,691
2009-03-01,Smartphone,737
2009-03-01,Tablet,717
2009-03-01,Accessories,276
2009-03-01,Laptop,947
2009-03-01,Smartphone,491
2009-03-01,Tablet,248
2009-03-01,Accessories,1047
2009-03-01,Laptop,986
2009-03-01,Smartphone,654
2009-03-01,Tablet,407
2009-03-01,Accessories,711
2009-03-01,Laptop,886
2009-03-01,Smartphone,927
2009-03-01,Tablet,1552
2009-03-01,Accessories,684
2009-03-01,Laptop,559
2009-03-01,Smartphone,686
2009-03-01,Tablet,884
2009-03-01,Accessories,276
2009-03-01,Laptop,604
2009-03-01,Smartphone,216
2009-03-01,Tablet,482
2009-03-01,Accessories,473
2009-03-01,Laptop,958
2009-03-01,Smartphone,536
2009-03-01,Tablet,747
2009-03-01,Accessories,597
2009-03-01,Laptop,1112
2009-03-01,Smartphone,405
2009-03-01,Tablet,654
2009-03-01,Accessories,724
2009-03-01,Laptop,327
2009-03-01,Smartphone,574
2009-03-01,Tablet,429
2009-03-01,Accessories,677
2009-03-01,Laptop,781
2009-03-01,Smartphone,274
2009-03-01,Tablet,489
2009-03-01,Accessories,419
2009-03-01,Laptop,36
2009-03-01,Smartphone,550
2009-03-01,Tablet,490
2009-03-01,Accessories,1078
2009-03-01,Laptop,1284
2009-03-01,Smartphone,532
2009-03-01,Tablet,1072
2009-03-01,Accessories,946
2009-03-01,Laptop,922
2009-03-01,Smartphone,1235
2009-03-01,Tablet,1013
2009-03-01,Accessories,233
2009-03-01,Laptop,306
2009-03-01,Smartphone,471
2009-03-01,Tablet,523
2009-03-01,Accessories,873
2009-03-01,Laptop,817
2009-03-01,Smartphone,402
2009-03-01,Tablet,1434
2009-03-01,Accessories,434
2009-03-01,Laptop,346
2009-03-01,Smartphone,562
2009-03-01,Tablet,794
2009-03-01,Accessories,255
2009-03-01,Laptop,559
2009-03-01,Smartphone,303
2009-03-01,Tablet,258
2009-03-01,Accessories,1258
2009-03-01,Laptop,819
2009-03-01,Smartphone,704
2009-03-01,Tablet,687
2009-03-01,Accessories,607
2009-03-01,Laptop,894
2009-03-01,Smartphone,729
2009-03-01,Tablet,510
2009-03-01,Accessories,306
2009-03-01,Laptop,544
2009-03-01,Smartphone,1032
2009-03-01,Tablet,496
2009-03-01,Accessories,1086
2009-03-01,Laptop,1024
2009-03-01,Smartphone,1075
2009-03-01,Tablet,849
2009-03-01,Accessories,370
2009-03-01,Laptop,1014
2009-03-01,Smartphone,1094
2009-03-01,Tablet,1080
2009-03-01,Accessories,490
2009-03-01,Laptop,218
2009-03-01,Smartphone,1106
2009-03-01,Tablet,267
2009-03-01,Accessories,708
2009-03-01,Laptop,360
2009-03-01,Smartphone,673
2009-03-01,Tablet,976
2009-03-01,Accessories,179
2009-03-01,Laptop,507
2009-03-01,Smartphone,76
2009-03-01,Tablet,223
2009-03-01,Accessories,669
2009-03-01,Laptop,520
2009-03-01,Smartphone,453
2009-03-01,Tablet,665
2009-04-01,Accessories,466
2009-04-01,Laptop,338
2009-04-01,Smartphone,111
2009-04-01,Tablet,375
2009-04-01,Accessories,542
2009-04-01,Laptop,583
2009-04-01,Smartphone,775
2009-04-01,Tablet,1252
2009-04-01,Accessories,554
2009-04-01,Laptop,931
2009-04-01,Smartphone,678
2009-04-01,Tablet,1107
2009-04-01,Accessories,922
2009-04-01,Laptop,793
2009-04-01,Smartphone,369
2009-04-01,Tablet,523
2009-04-01,Accessories,519
2009-04-01,Laptop,337
2009-04-01,Smartphone,493
2009-04-01,Tablet,190
2009-04-01,Accessories,464
2009-04-01,Laptop,207
2009-04-01,Smartphone,457
2009-04-01,Tablet,1050
2009-04-01,Accessories,1124
2009-04-01,Laptop,963
2009-04-01,Smartphone,942
2009-04-01,Tablet,1160
2009-04-01,Accessories,773
2009-04-01,Laptop,532
2009-04-01,Smartphone,1299
2009-04-01,Tablet,664
2009-04-01,Accessories,502
2009-04-01,Laptop,560
2009-04-01,Smartphone,461
2009-04-01,Tablet,634
2009-04-01,Accessories,990
2009-04-01,Laptop,676
2009-04-01,Smartphone,1161
2009-04-01,Tablet,941
2009-04-01,Accessories,1083
2009-04-01,Laptop,584
2009-04-01,Smartphone,864
2009-04-01,Tablet,561
2009-04-01,Accessories,1142
2009-04-01,Laptop,861
2009-04-01,Smartphone,1068
2009-04-01,Tablet,926
2009-04-01,Accessories,621
2009-04-01,Laptop,188
2009-04-01,Smartphone,576
2009-04-01,Tablet,382
2009-04-01,Accessories,393
2009-04-01,Laptop,925
2009-04-01,Smartphone,520
2009-04-01,Tablet,451
2009-04-01,Accessories,446
2009-04-01,Laptop,713
2009-04-01,Smartphone,125
2009-04-01,Tablet,299
2009-04-01,Accessories,570
2009-04-01,Laptop,499
2009-04-01,Smartphone,917
2009-04-01,Tablet,512
2009-04-01,Accessories,1508
2009-04-01,Laptop,731
2009-04-01,Smartphone,918
2009-04-01,Tablet,928
2009-04-01,Accessories,567
2009-04-01,Laptop,1140
2009-04-01,Smartphone,824
2009-04-01,Tablet,1620
2009-04-01,Accessories,508
2009-04-01,Laptop,503
2009-04-01,Smartphone,314
2009-04-01,Tablet,902
2009-04-01,Accessories,1225
2009-04-01,Laptop,592
2009-04-01,Smartphone,1399
2009-04-01,Tablet,1187
2009-04-01,Accessories,524
2009-04-01,Laptop,691
2009-04-01,Smartphone,1142
2009-04-01,Tablet,1035
2009-04-01,Accessories,873
2009-04-01,Laptop,1409
2009-04-01,Smartphone,1113
2009-04-01,Tablet,1263
2009-04-01,Accessories,847
2009-04-01,Laptop,674
2009-04-01,Smartphone,1031
2009-04-01,Tablet,819
2009-04-01,Accessories,458
2009-04-01,Laptop,1274
2009-04-01,Smartphone,699
2009-04-01,Tablet,967
2009-04-01,Accessories,469
2009-04-01,Laptop,624
2009-04-01,Smartphone,513
2009-04-01,Tablet,601
2009-04-01,Accessories,489
2009-04-01,Laptop,536
2009-04-01,Smartphone,206
2009-04-01,Tablet,437
2009-04-01,Accessories,757
2009-04-01,Laptop,929
2009-04-01,Smartphone,1524
2009-04-01,Tablet,737
2009-04-01,Accessories,1174
2009-04-01,Laptop,1140
2009-04-01,Smartphone,745
2009-04-01,Tablet,853
2009-04-01,Accessories,362
2009-04-01,Laptop,326
2009-04-01,Smartphone,211
2009-04-01,Tablet,593
2009-04-01,Accessories,443
2009-04-01,Laptop,107
2009-04-01,Smartphone,154
2009-04-01,Tablet,355
2009-05-01,Accessories,515
2009-05-01,Laptop,461
2009-05-01,Smartphone,370
2009-05-01,Tablet,349
2009-05-01,Accessories,393
2009-05-01,Laptop,360
2009-05-01,Smartphone,707
2009-05-01,Tablet,608
2009-05-01,Accessories,1463
2009-05-01,Laptop,1512
2009-05-01,Smartphone,993
2009-05-01,Tablet,1411
2009-05-01,Accessories,442
2009-05-01,Laptop,633
2009-05-01,Smartphone,640
2009-05-01,Tablet,244
2009-05-01,Accessories,1083
2009-05-01,Laptop,701
2009-05-01,Smartphone,1465
2009-05-01,Tablet,666
2009-05-01,Accessories,1627
2009-05-01,Laptop,738
2009-05-01,Smartphone,1430
2009-05-01,Tablet,1505
2009-05-01,Accessories,504
2009-05-01,Laptop,141
2009-05-01,Smartphone,454
2009-05-01,Tablet,575
2009-05-01,Accessories,556
2009-05-01,Laptop,749
2009-05-01,Smartphone,1011
2009-05-01,Tablet,1271
2009-05-01,Accessories,1400
2009-05-01,Laptop,529
2009-05-01,Smartphone,673
2009-05-01,Tablet,1056
2009-05-01,Accessories,1336
2009-05-01,Laptop,1309
2009-05-01,Smartphone,1093
2009-05-01,Tablet,1089
2009-05-01,Accessories,1400
2009-05-01,Laptop,1245
2009-05-01,Smartphone,915
2009-05-01,Tablet,567
2009-05-01,Accessories,1168
2009-05-01,Laptop,1421
2009-05-01,Smartphone,924
2009-05-01,Tablet,963
2009-05-01,Accessories,955
2009-05-01,Laptop,355
2009-05-01,Smartphone,356
2009-05-01,Tablet,790
2009-05-01,Accessories,703
2009-05-01,Laptop,1006
2009-05-01,Smartphone,1830
2009-05-01,Tablet,945
2009-05-01,Accessories,133
2009-05-01,Laptop,579
2009-05-01,Smartphone,232
2009-05-01,Tablet,57
2009-05-01,Accessories,458
2009-05-01,Laptop,139
2009-05-01,Smartphone,681
2009-05-01,Tablet,700
2009-05-01,Accessories,1205
2009-05-01,Laptop,1319
2009-05-01,Smartphone,1277
2009-05-01,Tablet,1080
2009-05-01,Accessories,213
2009-05-01,Laptop,779
2009-05-01,Smartphone,987
2009-05-01,Tablet,1267
2009-05-01,Accessories,379
2009-05-01,Laptop,1049
2009-05-01,Smartphone,927
2009-05-01,Tablet,875
2009-05-01,Accessories,568
2009-05-01,Laptop,652
2009-05-01,Smartphone,560
2009-05-01,Tablet,472
2009-05-01,Accessories,595
2009-05-01,Laptop,1205
2009-05-01,Smartphone,716
2009-05-01,Tablet,535
2009-05-01,Accessories,725
2009-05-01,Laptop,1409
2009-05-01,Smartphone,522
2009-05-01,Tablet,1329
2009-05-01,Accessories,499
2009-05-01,Laptop,445
2009-05-01,Smartphone,551
2009-05-01,Tablet,755
2009-05-01,Accessories,1199
2009-05-01,Laptop,1331
2009-05-01,Smartphone,743
2009-05-01,Tablet,965
2009-05-01,Accessories,296
2009-05-01,Laptop,332
2009-05-01,Smartphone,339
2009-05-01,Tablet,178
2009-05-01,Accessories,757
2009-05-01,Laptop,392
2009-05-01,Smartphone,346
2009-05-01,Tablet,1262
2009-05-01,Accessories,1816
2009-05-01,Laptop,721
2009-05-01,Smartphone,457
2009-05-01,Tablet,1522
2009-05-01,Accessories,600
2009-05-01,Laptop,326
2009-05-01,Smartphone,254
2009-05-01,Tablet,1000
2009-05-01,Accessories,1105
2009-05-01,Laptop,584
2009-05-01,Smartphone,1724
2009-05-01,Tablet,989
2009-05-01,Accessories,688
2009-05-01,Laptop,388
2009-05-01,Smartphone,267
2009-05-01,Tablet,467
2009-05-01,Accessories,1983
2009-05-01,Laptop,970
2009-05-01,Smartphone,1357
2009-05-01,Tablet,1147
2009-06-01,Accessories,1106
2009-06-01,Laptop,1185
2009-06-01,Smartphone,935
2009-06-01,Tablet,266
2009-06-01,Accessories,842
2009-06-01,Laptop,1695
2009-06-01,Smartphone,1286
2009-06-01,Tablet,2136
2009-06-01,Accessories,1448
2009-06-01,Laptop,747
2009-06-01,Smartphone,1414
2009-06-01,Tablet,1216
2009-06-01,Accessories,1125
2009-06-01,Laptop,1554
2009-06-01,Smartphone,1607
2009-06-01,Tablet,1484
2009-06-01,Accessories,788
2009-06-01,Laptop,631
2009-06-01,Smartphone,718
2009-06-01,Tablet,577
2009-06-01,Accessories,496
2009-06-01,Laptop,630
2009-06-01,Smartphone,490
2009-06-01,Tablet,550
2009-06-01,Accessories,808
2009-06-01,Laptop,1152
2009-06-01,Smartphone,1349
2009-06-01,Tablet,710
2009-06-01,Accessories,723
2009-06-01,Laptop,798
2009-06-01,Smartphone,433
2009-06-01,Tablet,382
2009-06-01,Accessories,915
2009-06-01,Laptop,1347
2009-06-01,Smartphone,1648
2009-06-01,Tablet,1286
2009-06-01,Accessories,927
2009-06-01,Laptop,1260
2009-06-01,Smartphone,1942
2009-06-01,Tablet,931
2009-06-01,Accessories,154
2009-06-01,Laptop,382
2009-06-01,Smartphone,261
2009-06-01,Tablet,665
2009-06-01,Accessories,916
2009-06-01,Laptop,1380
2009-06-01,Smartphone,1924
2009-06-01,Tablet,1358
2009-06-01,Accessories,949
2009-06-01,Laptop,490
2009-06-01,Smartphone,1038
2009-06-01,Tablet,1276
2009-06-01,Accessories,1082
2009-06-01,Laptop,1138
2009-06-01,Smartphone,1111
2009-06-01,Tablet,1783
2009-06-01,Accessories,429
2009-06-01,Laptop,465
2009-06-01,Smartphone,253
2009-06-01,Tablet,265
2009-06-01,Accessories,284
2009-06-01,Laptop,263
2009-06-01,Smartphone,996
2009-06-01,Tablet,356
2009-06-01,Accessories,1502
2009-06-01,Laptop,909
2009-06-01,Smartphone,564
2009-06-01,Tablet,1178
2009-06-01,Accessories,619
2009-06-01,Laptop,1329
2009-06-01,Smartphone,394
2009-06-01,Tablet,1252
2009-06-01,Accessories,1142
2009-06-01,Laptop,488
2009-06-01,Smartphone,637
2009-06-01,Tablet,657
2009-06-01,Accessories,134
2009-06-01,Laptop,413
2009-06-01,Smartphone,326
2009-06-01,Tablet,698
2009-06-01,Accessories,999
2009-06-01,Laptop,902
2009-06-01,Smartphone,606
2009-06-01,Tablet,447
2009-06-01,Accessories,1498
2009-06-01,Laptop,1409
2009-06-01,Smartphone,1126
2009-06-01,Tablet,1723
2009-06-01,Accessories,106
2009-06-01,Laptop,642
2009-06-01,Smartphone,653
2009-06-01,Tablet,391
2009-06-01,Accessories,238
2009-06-01,Laptop,401
2009-06-01,Tablet,1277
2009-06-01,Accessories,1658
2009-06-01,Laptop,1221
2009-06-01,Smartphone,1372
2009-06-01,Tablet,706
2009-06-01,Accessories,268
2009-06-01,Laptop,260
2009-06-01,Smartphone,987
2009-06-01,Tablet,173
2009-06-01,Accessories,1601
2009-06-01,Laptop,1163
2009-06-01,Smartphone,1212
2009-06-01,Tablet,917
2009-06-01,Accessories,661
2009-06-01,Laptop,623
2009-06-01,Smartphone,581
2009-06-01,Tablet,209
2009-06-01,Accessories,325
2009-06-01,Laptop,874
2009-06-01,Smartphone,661
2009-06-01,Tablet,186
2009-06-01,Accessories,2075
2009-06-01,Laptop,751
2009-06-01,Smartphone,1171
2009-06-01,Tablet,928
2009-07-01,Accessories,1308
2009-07-01,Laptop,2344
2009-07-01,Smartphone,1755
2009-07-01,Tablet,755
2009-07-01,Accessories,754
2009-07-01,Laptop,553
2009-07-01,Smartphone,560
2009-07-01,Tablet,775
2009-07-01,Accessories,446
2009-07-01,Laptop,476
2009-07-01,Smartphone,1670
2009-07-01,Tablet,1150
2009-07-01,Accessories,1186
2009-07-01,Laptop,1727
2009-07-01,Smartphone,1930
2009-07-01,Tablet,904
2009-07-01,Accessories,952
2009-07-01,Laptop,2224
2009-07-01,Smartphone,1678
2009-07-01,Tablet,1415
2009-07-01,Accessories,1261
2009-07-01,Laptop,1673
2009-07-01,Smartphone,1136
2009-07-01,Tablet,787
2009-07-01,Accessories,254
2009-07-01,Laptop,1356
2009-07-01,Smartphone,809
2009-07-01,Tablet,616
2009-07-01,Accessories,1100
2009-07-01,Laptop,1715
2009-07-01,Smartphone,1399
2009-07-01,Tablet,1328
2009-07-01,Accessories,719
2009-07-01,Laptop,600
2009-07-01,Smartphone,611
2009-07-01,Tablet,1280
2009-07-01,Accessories,761
2009-07-01,Laptop,1069
2009-07-01,Smartphone,1099
2009-07-01,Tablet,898
2009-07-01,Accessories,1675
2009-07-01,Laptop,973
2009-07-01,Smartphone,1059
2009-07-01,Tablet,725
2009-07-01,Accessories,877
2009-07-01,Laptop,590
2009-07-01,Smartphone,1817
2009-07-01,Tablet,834
2009-07-01,Accessories,995
2009-07-01,Laptop,1867
2009-07-01,Smartphone,766
2009-07-01,Tablet,1026
2009-07-01,Accessories,1897
2009-07-01,Laptop,1121
2009-07-01,Smartphone,1434
2009-07-01,Tablet,1279
2009-07-01,Accessories,1434
2009-07-01,Laptop,1437
2009-07-01,Smartphone,869
2009-07-01,Tablet,1505
2009-07-01,Accessories,739
2009-07-01,Laptop,583
2009-07-01,Smartphone,680
2009-07-01,Tablet,284
2009-07-01,Accessories,511
2009-07-01,Laptop,756
2009-07-01,Smartphone,1203
2009-07-01,Tablet,906
2009-07-01,Accessories,685
2009-07-01,Laptop,617
2009-07-01,Smartphone,755
2009-07-01,Tablet,1199
2009-07-01,Accessories,191
2009-07-01,Laptop,789
2009-07-01,Smartphone,668
2009-07-01,Tablet,371
2009-07-01,Accessories,683
2009-07-01,Laptop,816
2009-07-01,Smartphone,1108
2009-07-01,Tablet,1349
2009-07-01,Accessories,703
2009-07-01,Laptop,390
2009-07-01,Smartphone,315
2009-07-01,Tablet,278
2009-07-01,Accessories,1762
2009-07-01,Laptop,1077
2009-07-01,Smartphone,1223
2009-07-01,Tablet,1748
2009-07-01,Accessories,1008
2009-07-01,Laptop,1762
2009-07-01,Smartphone,1654
2009-07-01,Tablet,1828
2009-07-01,Accessories,1017
2009-07-01,Laptop,864
2009-07-01,Smartphone,586
2009-07-01,Tablet,678
2009-07-01,Accessories,1186
2009-07-01,Laptop,1775
2009-07-01,Smartphone,1753
2009-07-01,Tablet,1308
2009-07-01,Accessories,720
2009-07-01,Laptop,737
2009-07-01,Smartphone,336
2009-07-01,Tablet,968
2009-07-01,Accessories,204
2009-07-01,Laptop,325
2009-07-01,Smartphone,550
2009-07-01,Tablet,194
2009-07-01,Accessories,411
2009-07-01,Laptop,942
2009-07-01,Smartphone,394
2009-07-01,Tablet,87
2009-07-01,Accessories,1458
2009-07-01,Laptop,1993
2009-07-01,Smartphone,1550
2009-07-01,Tablet,1232
2009-07-01,Accessories,415
2009-07-01,Laptop,387
2009-07-01,Smartphone,623
2009-07-01,Tablet,467
2009-07-01,Accessories,974
2009-07-01,Laptop,329
2009-07-01,Smartphone,705
2009-07-01,Tablet,1134
2009-08-01,Accessories,896
2009-08-01,Laptop,597
2009-08-01,Smartphone,310
2009-08-01,Tablet,278
2009-08-01,Accessories,308
2009-08-01,Laptop,436
2009-08-01,Smartphone,609
2009-08-01,Tablet,505
2009-08-01,Accessories,793
2009-08-01,Laptop,871
2009-08-01,Smartphone,1812
2009-08-01,Tablet,902
2009-08-01,Accessories,610
2009-08-01,Laptop,206
2009-08-01,Smartphone,355
2009-08-01,Tablet,965
2009-08-01,Accessories,1555
2009-08-01,Laptop,1588
2009-08-01,Smartphone,1407
2009-08-01,Tablet,1379
2009-08-01,Accessories,980
2009-08-01,Laptop,681
2009-08-01,Smartphone,1209
2009-08-01,Tablet,800
2009-08-01,Accessories,1244
2009-08-01,Laptop,1722
2009-08-01,Smartphone,480
2009-08-01,Tablet,579
2009-08-01,Accessories,2227
2009-08-01,Laptop,1024
2009-08-01,Smartphone,438
2009-08-01,Tablet,1865
2009-08-01,Accessories,617
2009-08-01,Laptop,1045
2009-08-01,Smartphone,874
2009-08-01,Tablet,918
2009-08-01,Accessories,900
2009-08-01,Laptop,1456
2009-08-01,Smartphone,1348
2009-08-01,Tablet,2897
2009-08-01,Accessories,749
2009-08-01,Laptop,522
2009-08-01,Smartphone,1258
2009-08-01,Tablet,324
2009-08-01,Accessories,2267
2009-08-01,Laptop,1042
2009-08-01,Smartphone,2028
2009-08-01,Tablet,1686
2009-08-01,Accessories,1898
2009-08-01,Laptop,1885
2009-08-01,Smartphone,882
2009-08-01,Tablet,1874
2009-08-01,Accessories,1974
2009-08-01,Laptop,1441
2009-08-01,Smartphone,1451
2009-08-01,Tablet,858
2009-08-01,Accessories,1054
2009-08-01,Laptop,1026
2009-08-01,Smartphone,565
2009-08-01,Tablet,997
2009-08-01,Accessories,1650
2009-08-01,Laptop,1406
2009-08-01,Smartphone,1403
2009-08-01,Tablet,1349
2009-08-01,Accessories,1618
2009-08-01,Laptop,1346
2009-08-01,Smartphone,961
2009-08-01,Tablet,645
2009-08-01,Accessories,765
2009-08-01,Laptop,1430
2009-08-01,Smartphone,747
2009-08-01,Tablet,393
2009-08-01,Accessories,1094
2009-08-01,Laptop,234
2009-08-01,Smartphone,790
2009-08-01,Tablet,232
2009-08-01,Accessories,425
2009-08-01,Laptop,957
2009-08-01,Smartphone,462
2009-08-01,Tablet,591
2009-08-01,Accessories,1459
2009-08-01,Laptop,784
2009-08-01,Smartphone,1411
2009-08-01,Tablet,1581
2009-08-01,Accessories,1814
2009-08-01,Laptop,421
2009-08-01,Smartphone,1473
2009-08-01,Tablet,1036
2009-08-01,Accessories,878
2009-08-01,Laptop,1598
2009-08-01,Smartphone,1429
2009-08-01,Tablet,1521
2009-08-01,Accessories,1184
2009-08-01,Laptop,1651
2009-08-01,Smartphone,753
2009-08-01,Tablet,1567
2009-08-01,Accessories,1189
2009-08-01,Laptop,1561
2009-08-01,Smartphone,1178
2009-08-01,Tablet,1813
2009-08-01,Accessories,470
2009-08-01,Laptop,589
2009-08-01,Smartphone,815
2009-08-01,Tablet,149
2009-08-01,Accessories,914
2009-08-01,Laptop,851
2009-08-01,Smartphone,883
2009-08-01,Accessories,527
2009-08-01,Laptop,1072
2009-08-01,Smartphone,235
2009-08-01,Tablet,385
2009-08-01,Accessories,1349
2009-08-01,Laptop,1827
2009-08-01,Smartphone,754
2009-08-01,Tablet,1376
2009-08-01,Accessories,1232
